Payment Submission Detail Report,1.0,2018-02-13 to 2018-02-13,,,,,,,
batch_id,merchant_id,batch_date,request_id,merchant_ref_number,trans_ref_no,payment_method,currency,amount,transaction_type,payment_processor
"20068741761","uma_garage_parcs","2018-02-13","5184501017536046403051","636540289014381576","421756393XEKEND2IAQ4O","Visa","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184502534946265503059","636540290531959695","421765621XEKHVD2KFE2Z","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184504940806132903064","636540292937257450","421765223XEKIZD2KV27V","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184506043976224103051","636540294041971304","421767719XEKE3D2I2886","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184507979676941803050","636540295977570120","421761565XEKIXD2KUYFL","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184508110616947003050","636540296107744696","421768037XEKEND2IAR5C","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184508187476950003050","636540296185675589","421762555XEKI9D2KSH4O","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184509094046153803024","636540297090916450","421765651XEKHVD2KFEW6","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184509511526259203073","636540297508814043","421768441XEKDVD2HRMW1","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184510568006723703063","636540298564017428","421768546XEKE7D2L4NU3","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184512473276467103066","636540300471346843","421770932XEKI6D2KSEFK","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184513177576133603052","636540301174824587","421766688XEKDZD2I28XY","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184513203306136003052","636540301201222085","421767066XEKHQD2KE1FS","Discover","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184513297286142103052","636540301294838961","421768275XEKHTD2KFCFX","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184513860136231403058","636540301858268799","421771135XEKHPD2KDZ1K","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184513982546242003058","636540301980805002","421767186XEKL4D2KHTFV","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184514290876689403071","636540302287842692","421769667XEKI4D2KHQDH","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184514509906384703053","636540302506568644","421762898XEKIND2KUTRX","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184514614596390103053","636540302612139104","421768288XEKHTD2KFCQ5","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184514760326395803053","636540302758463082","421763799XEKIRD2KUXA5","Visa","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184514777766397103053","636540302775270368","421765098XEKEOD2IAR8V","MasterCard","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184515028886612203088","636540303025325648","421773608XEKILD2KT68A","Visa","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184515063956614903088","636540303062241128","421769161XEKHGD2KBSPP","Visa","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184515590176620703087","636540303586128432","421764593XEKDXD8YGCLA","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184515607556621903087","636540303604547108","421768180XEKEMD2IAS2O","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184515849706637303087","636540303848186126","421774215XEKIAD2KSH86","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184516120706657703087","636540304118871868","421775707XEKI2D2KHQ4Z","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184516281336666903087","636540304279566730","421769294XEKHCD2KBSQA","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184517243906393503050","636540305242168902","421776204XEKEKD2IAWFP","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184517772516685403073","636540305770271968","421776110XEKDXD8YGD29","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184518068776703703073","636540306066211066","421776709XEKHOD2KDZDO","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184518132426708503073","636540306130373686","421775316XEKHSD2KFDO4","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184518189306712103073","636540306187251193","421769177XEKHGD2KBTCD","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184518239276715903073","636540306237385204","421772534XEKI0D2KHSU0","MasterCard","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184518249966716603073","636540306248255875","421768967XEKI1D2KHROV","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184518995986694203075","636540306993235700","421773339XEKHND2KE259","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184519616046816803057","636540307613663380","421776214XEKEKD2IAWXQ","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184520037236847003057","636540308034968620","421772967XEKHFD2KBU8W","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184520622106875603057","636540308618884377","421769590XEKE8D2L4RNJ","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184520757216880703057","636540308755334929","421776222XEKEKD2IAX67","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184521030036013403017","636540309026471168","421776136XEKDXD8YGDQ6","American Express","USD","1.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184521373876036103017","636540309371690188","421774848XEKIND2KUV5Z","MasterCard","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184521398376037203017","636540309395284844","421776526XEKHDD8YMEUQ","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184521697646904603060","636540309695647940","421778710XEKL9D95FXWV","MasterCard","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184522108746087103017","636540310104234698","421780005XEKHXD2KFGKO","Visa","USD","1.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184522448896106803017","636540310447089660","421773252XEKHHD2KBPXA","MasterCard","USD","1.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184522625456118903017","636540310623671198","421775639XEKIGD95BWL8","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184522775636433703065","636540310773397868","421771894XEKEID2IAV4K","MasterCard","USD","1.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184522803236131003017","636540310801260266","421771389XEKE1D2I28Q3","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184523020296139303017","636540311018612362","421776724XEKHOD2KE0F3","Visa","USD","3.50","ics_bill","Vital"
